# px, py, pz, ox, oy, oz, ow
2.824993643274370525e-01,5.858725300758651500e-01,-1.359578843742559606e-01,6.981655003077101573e-02,9.760290103487688773e-01,5.088137497419003424e-02,1.997601210956266027e-01
4.874100538951509076e-01,5.773629935965001181e-01,1.281439836239825492e-02,-7.046779572276392622e-01,6.513129994854169880e-01,-1.367710030650492181e-01,2.459960284625945792e-01
6.349991055015893338e-01,5.615996419887083757e-01,-8.957123104150022108e-02,-4.311454771542659326e-01,-7.940970697481631868e-01,-2.357162775618222572e-01,3.577167284866597519e-01
6.085373258157382725e-01,5.247791844861179333e-01,-6.577856500501701176e-02,-3.586510908417874788e-01,4.739015615703228157e-01,-5.029686357225271465e-01,6.275422348006747253e-01
7.369178377921068446e-01,4.387309577782739223e-01,-1.040022559453915862e-01,-1.486623879059787989e-01,9.851068242696694455e-01,8.186963045555709084e-02,2.759352838134257122e-02
5.453688369089634280e-01,4.973216326829861811e-01,-2.005802824979417143e-01,-3.206373962445968617e-01,6.930684918757832325e-01,-2.608708652087948776e-01,5.905879421252414607e-01
6.771853980041453447e-01,5.698835802286656982e-01,2.089065041224470731e-02,-5.903265835250863791e-01,4.004637349316112482e-01,3.320309857902206119e-01,6.171699492549823640e-01
7.107192733479839042e-01,5.324487056073556879e-01,-9.035968104011785074e-02,-7.347733642994724867e-01,-4.483897247918009477e-01,-1.777224040788572546e-01,4.769376320920786227e-01
2.768608382334000195e-01,6.630549013807449654e-01,-1.965254816137287086e-01,4.465134397546551698e-02,-9.451662129876662322e-01,-2.492928451320347016e-01,2.062041819986071001e-01
3.810485762304680613e-01,6.144188915662228689e-01,-4.273526209919163016e-02,-5.295562905329354031e-01,-5.669701341316678578e-01,-1.781004772726176577e-01,6.053058913929233453e-01
6.682561712518204633e-01,5.513391018740158023e-01,-1.943771298518603419e-01,9.651019808189283955e-01,-1.266413881152433640e-01,8.053578309244500966e-02,2.146022205786986825e-01
7.402190958623485750e-01,2.188111110658503278e-01,-1.761879982546515899e-01,1.027175770301784336e-01,-9.632580520689690839e-01,-2.464086365847741322e-01,2.942462081008060878e-02
5.068952138022092546e-01,3.774404839892090968e-01,-1.488931953929393537e-01,-6.117648544284304268e-01,-7.519397430665523130e-01,1.631377665749148276e-01,1.836204095413089821e-01
7.312726371144309123e-01,1.507913004789723233e-01,-1.268190973424746792e-01,3.520875918860837950e-01,8.576925179564932611e-01,-1.722070174795093112e-01,3.327801307351760940e-01
7.223364538968610749e-01,3.394909917464359328e-01,-2.333347681475007873e-02,-7.927474511874137431e-01,4.292794501328757728e-01,3.232853182258761948e-01,2.876755730837573521e-01
7.428680016975073297e-01,4.198399612328762576e-01,5.307385392682487102e-02,9.131524278237614922e-01,-1.996016223608127749e-01,3.553976028045215396e-01,2.092804817130469817e-03
6.850068307162903158e-01,2.513929343254102111e-01,-1.226412412469943813e-01,-5.000585479719418247e-01,4.652643842093955318e-01,-6.831854440895248626e-01,2.583179249890402707e-01
4.996828175503320035e-01,5.237041068431655955e-01,-2.830635957301121108e-02,6.281501746398576724e-01,6.797809152855515125e-01,-2.021211258752742684e-02,3.780432988669454319e-01
6.769886433202935150e-01,6.103981763205591493e-01,-7.811308851547410503e-02,5.013077584951751708e-01,5.413163860192808929e-01,6.509749338815087882e-02,6.718849736778962356e-01
3.432432247378261470e-01,6.499376235634830579e-01,-8.395281632201412325e-02,-4.571125665142592442e-01,8.335925601357049297e-01,-1.207478561068665440e-01,2.856422595953588273e-01
6.923918495232717074e-01,3.464419956340007989e-01,-1.330526835875564806e-01,-6.663506002837011888e-01,-7.263029896860699886e-01,-1.626684402248056438e-01,4.471938315147923337e-02
5.930822498999535064e-01,3.477520335072012414e-01,-1.124367654884769752e-02,6.238319633026325750e-01,-6.249990846932563793e-01,3.535123010188140902e-01,3.086079693121315248e-01
2.053480397306175487e-01,7.085351206444800987e-01,-9.924367423375024533e-02,-8.384318434779558515e-01,4.629293892711710545e-01,-2.090550366054306497e-01,1.975459846746516479e-01
4.721644560488332254e-01,6.312727539171169022e-01,1.908361907211506003e-02,-3.360642129666966404e-01,9.392954634150179061e-01,4.931185714804135756e-02,4.850997748564477713e-02
4.069218206258765624e-01,4.914129443161726618e-01,-1.495446220719515995e-01,-6.901145803327607409e-01,-8.513666270567886440e-02,3.040022996672547273e-01,6.512113454728022388e-01
5.236413656370669800e-01,6.274517703830982951e-01,5.925768092057151493e-03,6.519537753064758023e-01,7.362713503354738620e-01,-1.676149233354336798e-01,6.903630214648237562e-02
5.791915998207002314e-01,3.758813705195359622e-01,-8.721639731718079658e-02,7.615675237321184454e-01,4.907184496900997561e-01,1.697539856615766229e-01,3.878065165546908943e-01
6.172897380639944531e-01,5.043380560499715060e-01,3.897909241677169345e-03,-4.174541005615060862e-02,9.348479036289212285e-01,3.153105154373903596e-01,1.577846528483065058e-01
6.970802371334337000e-01,5.453584887700739792e-01,3.540696302189824674e-02,-1.605715926538309468e-01,5.714344840341147869e-01,7.751213982933639057e-01,2.164860549712552540e-01
3.921974912312534145e-01,5.098815819469422195e-01,-3.955848472612169542e-02,6.565535943487335047e-01,-6.951569284182409492e-01,1.082663776461371130e-01,2.719790692153700173e-01
2.742204136540851711e-01,5.924930054177705019e-01,-1.508208460087633318e-01,-2.754699972003891717e-01,-8.322248706843062838e-01,4.682087248388800416e-01,1.108992120876087228e-01
5.847548246704588060e-01,3.835509928487045306e-01,-1.239862183501309056e-01,-7.885568525728857692e-01,-4.056949363182423829e-01,-3.591054032322859024e-01,2.909175454926348769e-01
2.202787606426058198e-01,6.468357133466076103e-01,4.034103414469371318e-02,5.439083443148660241e-02,9.547316462488093514e-01,8.465235395746059655e-02,2.799340989417783421e-01
4.433406734072331545e-01,6.758046412470696263e-01,-1.830308662187110080e-01,-1.050754129973390238e-01,7.873932770723018892e-01,5.839562691282141893e-01,1.672305610546001853e-01
6.789377053786025407e-01,4.633335824775404177e-01,-3.028349798331278486e-02,7.407065517604315419e-01,-4.549891642147013693e-01,3.647348917735342422e-01,3.336272221347149070e-01
6.180689289474718962e-01,5.541279364632942794e-01,-1.440025753599733782e-01,-7.032204462194294736e-01,2.587466529073544907e-01,-5.655306473224183117e-01,3.445377491179659746e-01
2.393054317077282223e-01,6.736174297819200740e-01,-4.954175968421872800e-02,-9.535776910252925509e-01,1.706115066852493811e-01,1.223047402951424473e-01,2.159232536499898769e-01
6.401494277631172292e-01,3.366269075677382205e-01,-1.961888885616654699e-01,-6.898067556338248751e-01,-6.954678018932467509e-01,-1.978106563831276976e-01,3.690691849790345147e-02
5.425826618157807424e-01,7.139713482583062154e-01,-1.684288538339057673e-01,-5.834842442199453805e-01,3.542750438688131442e-01,4.164023776588484660e-01,6.005367515139163892e-01
4.234182426861967108e-01,5.677215747749808639e-01,-3.433389282066583170e-02,9.030258299371838326e-01,-6.252077283222069910e-03,-8.048713098230940444e-02,4.219325582864416613e-01
4.638072539802403083e-01,5.885146973184056662e-01,-1.251263432173273238e-01,-3.161914110903542019e-01,6.332918411117269830e-01,-5.288144153781013657e-01,4.683158652259460930e-01
7.602768656906402356e-01,3.204992584557381230e-01,-2.457053091602494702e-02,-3.531917407494342687e-01,6.496005832954365733e-01,-4.767012189018253188e-01,4.754267812672387516e-01
5.396830477081219213e-01,3.592534406670747082e-01,-3.077252593749151000e-02,9.559591714586285205e-01,2.431805293718170835e-01,1.271706266652832262e-01,1.040813352726048385e-01
4.709293157565361820e-01,3.993264229859271319e-01,1.938257183887262536e-02,1.084947897596768261e-02,8.870259234644167767e-01,4.590723479987494082e-01,4.816512442556299123e-02
4.617936465531490842e-01,5.390823946618761298e-01,-1.994270978395397131e-01,-9.043177259148882374e-02,9.700251392113951043e-01,-1.560913563826486217e-01,1.628152703725821993e-01
3.435340506163171437e-01,5.378005533302802066e-01,-1.449448493929998971e-01,8.028774516105382508e-01,1.335184092357072621e-03,4.552828439877543154e-01,3.848422364414139096e-01
5.462533885227084385e-01,6.119680309525244999e-01,-8.366967053014205680e-02,-7.510885460263936331e-01,4.197316331191340844e-01,-3.999814353750343887e-01,3.157628913321352537e-01
5.441303931562688767e-01,5.142328494298562536e-01,4.593886723398599159e-02,8.254756552730808661e-01,2.475985765154944951e-01,4.797699079547942946e-01,1.646381574241738421e-01
5.735493158689877191e-01,5.822161873661741982e-01,3.172163324747120927e-02,4.337848949299651369e-01,-3.801762299748459584e-01,8.164548861940814639e-01,2.642192086783720986e-02
4.698874985356445433e-01,6.879571567692133183e-01,-2.128140228528956901e-01,1.044680206675775991e-01,7.047710628355369211e-01,9.223036370233263226e-02,6.956132126827390127e-01
6.173374338220185553e-01,2.673260925578188618e-01,-1.987648712104284621e-01,6.464457941402379504e-01,4.276079851683265987e-01,6.099631058766252778e-01,1.649371265907676187e-01
6.406194657539597825e-01,3.385175501827568101e-01,6.283943189630111781e-02,1.439013304475628141e-01,9.092954699880476666e-01,3.203000077897161235e-01,2.233429210083563432e-01
4.478170891357575178e-01,5.992530921129790578e-01,-9.607977164401376724e-02,-2.157658796432021520e-01,-7.780399388803476146e-01,-5.426654057890055727e-01,2.315452354265008783e-01
6.245002145136964167e-01,6.100743409850581944e-01,7.330335650814610859e-03,-5.094600365665178376e-01,1.437093095129792775e-01,2.508659743674846246e-02,8.480381878960353559e-01
5.713609799934589173e-01,3.067776100331641720e-01,-1.146517890318046740e-02,9.311348981146744253e-01,-3.169822698328437771e-01,1.500527921983781099e-01,9.997100418651459763e-02
6.480168419254849210e-01,5.005592165374216362e-01,-1.694847725964572782e-01,-9.221377007528763770e-01,-1.521769142252628881e-01,-2.155159038620751699e-01,2.829437096130396623e-01
3.935750579574774921e-01,4.769365677362050748e-01,-6.084419279656766433e-02,9.476591690626925413e-01,2.017388288561194620e-01,1.301381792423300099e-01,2.104937018693459061e-01
4.075633075912735159e-01,5.224634240593440948e-01,-6.631953521343873781e-02,7.493656132024626437e-01,3.471907643643589170e-01,5.074676853388740971e-01,2.457362391398412726e-01
5.986301323484349846e-01,4.133694148313794559e-01,2.087018168249946126e-02,-4.828044778936606551e-01,-8.349131965474181349e-01,-2.624877097339375909e-01,3.033137971451438028e-02
3.811191543144835658e-01,6.029566322220104579e-01,-7.779834040477388857e-02,2.669715091591253198e-01,-9.334524665264753995e-01,-2.394123856407986140e-01,8.626449704511762739e-03
3.580519952432368314e-01,7.274439208194622974e-01,-1.195779298060044293e-01,-7.075683575535168801e-01,5.036721240742384476e-01,2.521484522639237946e-01,4.267113413544003087e-01
4.892804492923112925e-01,3.611500267953086651e-01,-1.624729233345647283e-01,-7.918012471832144850e-02,9.717301568247500576e-01,-2.144614903582482690e-01,5.896846038562120196e-02
5.891451119415374027e-01,4.539483423350517133e-01,-8.224316373993728613e-02,-6.207911024891791391e-02,6.001709243108097613e-01,-3.996755485873020874e-01,6.900728233629043196e-01
6.586849943809522934e-01,3.318208414243389859e-01,5.075167404432393004e-02,-1.957559458318838541e-01,8.405215931098781734e-01,1.764484120336380635e-01,4.733592917418063539e-01
5.710864171774108211e-01,6.701328068241646507e-01,-9.119100319154709033e-02,-1.326817344890425798e-01,-9.574556424389736309e-01,-4.932939854247459649e-02,2.514773559074217069e-01
4.409267499740044949e-01,4.450362592999944633e-01,-3.653453922676434817e-02,5.473254899261928985e-01,-6.916108010281413199e-01,-3.246322133121690712e-01,3.416478216794420764e-01
3.304967017281328912e-01,5.373970769317613083e-01,-8.501141115981730723e-02,-8.349621298252530854e-01,4.759382136246524952e-01,2.757466110486807565e-01,1.687794609853119493e-02
6.298396072385397115e-01,6.138035098195955275e-01,-1.812738293166246684e-02,1.896517299320648609e-01,-9.793266913516074368e-01,-4.846360662438837369e-02,5.101697534159004704e-02
2.302329949411549559e-01,6.131216961460059789e-01,5.342585351554711426e-02,4.410599596892675889e-01,-8.786549700455882350e-01,-1.696863904959308722e-01,6.810348341718641674e-02
6.034999616344980389e-01,2.889989374887328988e-01,-1.415749064817912184e-01,-1.411674216523464698e-01,9.729748756818574762e-01,-9.414855067425839663e-02,1.566132202652082417e-01
6.271692820473224739e-01,3.687334915788921808e-01,-7.794788046016916383e-02,8.474846674238488697e-01,-4.335153382326371041e-01,3.060976069936854338e-01,1.176626493326211192e-02
5.502979936047522891e-01,3.422853649811731791e-01,-1.908098098943505350e-01,-5.739159824749325844e-01,-7.401606946401282361e-01,-3.410551098749172727e-01,8.039902485651412301e-02
4.874891652833482358e-01,4.156684757963441390e-01,-5.581987638451894884e-02,4.114402900359517279e-01,8.498224602566556429e-01,4.511327755551502311e-02,3.263180441940904952e-01
6.182605204292070944e-01,5.389519778009387307e-01,-1.381416659570337824e-01,-1.205382603172764494e-01,8.570982489096138357e-01,-1.880999945339470181e-01,4.641890903199760166e-01
7.025305951510616431e-01,3.867635954009688293e-01,-1.297470938584494027e-01,5.781715293873838091e-01,2.646708449946775787e-01,6.717581758804725967e-01,3.800104992673181692e-01
4.851587644020326495e-01,3.727318660041135656e-01,-4.714372988680947535e-02,6.239760851778134443e-01,5.476917821815732168e-01,2.963019990884732113e-01,4.721151154041949294e-01
6.253814696031723130e-01,4.311440179219065971e-01,5.362078629829029885e-02,7.295210733414490001e-01,4.637439566668677404e-01,-2.661840352879795701e-01,4.264816591173717364e-01
5.782824629673538608e-01,3.502642730343227262e-01,-1.561038456740410085e-03,-8.663701317511188771e-01,-4.703192170458352361e-01,1.849007436880744856e-02,1.669153858599613793e-01
5.509897054028486396e-01,4.188398441905885061e-01,8.871838286259939310e-03,-8.533526779547490060e-01,-4.008277113140762404e-01,-2.635668814549035344e-01,2.041050020707830259e-01
2.701754571704167440e-01,6.385094627228802278e-01,-6.138055233457720417e-02,-6.654416080418752433e-01,-5.052966481921898900e-01,3.627816822183903556e-01,4.126163044029844129e-01
6.843165760250875529e-01,4.485790199569880121e-01,-1.050053876015713122e-01,1.137900532845346202e-01,6.885085717098824443e-01,-2.124490978818306328e-02,7.159304604943222961e-01
6.743294831936915701e-01,4.571468022497997552e-01,-1.819449514684637892e-01,2.664067617154610712e-01,7.053847260533459007e-01,1.107434850795097347e-01,6.474532462466859872e-01
2.618116969525005056e-01,6.114109184343152759e-01,-8.450767757164531768e-02,-7.742497278185841991e-02,-8.021774072714898951e-01,-1.504273504957971963e-01,5.726153971696298361e-01
3.308607782916239692e-01,5.193568361936847788e-01,4.251398036833275995e-02,-9.879490883981009164e-01,1.678909773134916808e-02,-1.528186816394990766e-01,1.792136916488914697e-02
7.353316736676845933e-01,3.848217670624866082e-01,-7.799242596630678870e-02,-8.057583450235138445e-01,7.095041100938169996e-03,-4.725080054524529172e-01,3.569864627686727965e-01
6.070957578852005376e-01,3.073441848230930029e-01,2.227562701490529151e-02,9.053218439026006203e-01,4.159438705465028363e-01,7.788399367083032043e-02,3.629241019201406154e-02
4.146859574497513967e-01,5.287015116827862293e-01,-4.035917599791352672e-02,-3.304910884277064559e-02,9.627350998102299773e-01,2.658799209638993410e-01,3.683410954917014368e-02
1.839190448019589197e-01,6.696146902218421681e-01,-1.010467340165815409e-01,2.257763857324404377e-01,9.476256851100200995e-01,5.478368782443848034e-02,2.191559538632628090e-01
5.035660671036271685e-01,4.000606926395467999e-01,2.986799963238973010e-02,8.005180598274425074e-01,4.868138666666033676e-01,1.561301692710463929e-01,3.127402522135773189e-01
5.390559434172360609e-01,6.004304591155583681e-01,2.439538920993802873e-02,8.264413364234558523e-01,-5.871530080833776283e-02,5.521294889285308649e-01,9.327517546010073712e-02
6.929888351865106655e-01,2.180208780599957596e-01,-8.936995468943080556e-02,5.294510400672438610e-01,-4.934863888037867574e-01,5.634928694260354920e-01,3.982820186038076860e-01
6.113405422000068867e-01,3.678600254139260395e-01,-6.773576694001350040e-02,3.814074801739437137e-01,5.062296076424239732e-01,3.377057012527870938e-01,6.958554287744858069e-01
4.037194962012631838e-01,6.167103302009140364e-01,6.236149308040085659e-02,-6.279451752527421826e-01,7.502398171933636339e-01,1.303508461846923649e-01,1.607287481236786275e-01
4.414796833105992802e-01,4.948355461821665746e-01,-6.390474917862182247e-02,-2.842433505350116379e-02,9.781566010115473331e-01,6.350889198777645572e-02,1.958783850065805854e-01
5.136419143831625345e-01,3.893264475425876059e-01,3.359282477574856984e-02,8.010325410649873357e-01,5.875362783875365258e-01,1.146023288362389841e-01,3.780999662844157765e-03
4.352973385520916283e-01,6.214917617776472003e-01,-1.697591146269691320e-01,-7.170872317695251574e-01,-4.536268600689996600e-01,-5.203880426876633658e-01,9.594195581060135924e-02
6.168328943920714513e-01,6.159390777159183816e-01,-1.761045586234259441e-01,2.400743615678129772e-01,-9.682801949739537895e-01,4.889012323504909191e-02,4.906649354784639594e-02
3.202365503291516591e-01,7.176955993429362524e-01,-5.955195037370028532e-02,-7.355688692524237071e-01,4.183531090767042548e-01,4.741436027250087726e-01,2.431192273505205503e-01
6.031877012990742859e-01,6.992699498782404266e-01,-2.036877827194986668e-01,-4.456982863999581213e-01,5.101716473405882857e-01,4.236858591245293293e-01,6.013054303162751468e-01
6.706851709827210684e-01,4.465623254000723463e-01,-7.841792539744754653e-02,-4.773175711146538935e-01,3.151702287073592790e-01,-8.120684425984598942e-01,1.156741448097574620e-01
6.954662049350286424e-01,4.029750861223926339e-01,7.635175141322395054e-02,5.464594763411182443e-01,5.697503534405774506e-01,6.118802145538598802e-01,4.867420783959825609e-02
6.336709629872555594e-01,4.063728071756684823e-01,-1.697740945383839628e-01,-6.430029659656429919e-01,7.654935235389724868e-01,7.876839210498689722e-03,2.246790117813517174e-02
5.538141275731498503e-01,6.908467046105628562e-01,1.368478265036977837e-04,-4.611438103444628900e-01,5.726056048612622185e-01,-4.398043879827129299e-01,5.157919229433606256e-01
2.468343750559263694e-01,7.209777469869721456e-01,-9.830072497206435167e-02,8.871706824894552978e-01,-3.745026869637223532e-01,-2.298568259822005022e-01,1.408607721742857199e-01
4.443683744640620770e-01,6.664760948961496734e-01,-1.756149950017390216e-01,1.646257760330147035e-02,9.248965985185341188e-01,-3.512189000798402461e-01,1.447084994539209191e-01
6.603256896815346000e-01,6.439460320936645221e-01,-1.386154253054397156e-01,4.683213702349995899e-01,8.558253618591157297e-01,1.111455476984888058e-01,1.894326038640834764e-01
4.347739553818344427e-01,5.994434499519912807e-01,-1.429485521950158156e-01,-3.022303547760437636e-01,8.468156351635719448e-01,3.917253223546833252e-01,1.952213218902576486e-01
2.566036874127161083e-01,5.939469970677352384e-01,-1.975685926727839825e-01,4.897413251355121622e-01,-7.587579846962322350e-01,-4.278903556386674523e-01,3.673688426725323086e-02
5.109053727953839497e-01,4.338507015384950316e-01,-2.624938476510595142e-02,-2.432991389780717884e-01,-9.413035725531817555e-01,2.167462233770260926e-01,8.817135545594720347e-02
2.569128733113103524e-01,6.869520164855879019e-01,-1.492967485525255045e-01,-8.081322946931388529e-01,5.057559927517608633e-01,-4.170060577129559853e-02,2.989885107290748967e-01
6.697035134530526790e-01,4.273415427155810020e-01,7.465357584893260456e-02,-2.329664383330306288e-01,9.099877967298151127e-01,3.414004134110846800e-01,3.308483241563747040e-02
8.058652634156274752e-01,1.456952948720508512e-01,-8.672759436366202224e-03,7.485936174853438096e-01,-7.095496649858584748e-02,5.677424815072810160e-01,3.350245711606033017e-01
3.126193815647265728e-01,6.719978642585997530e-01,3.270296174047392090e-02,-4.076672624803699962e-01,6.782548697781486391e-01,5.138733211063153394e-01,3.312279344788928159e-01
2.308314882800588386e-01,7.195032154961760185e-01,-6.521633199531423619e-02,9.934007094050464337e-01,5.956755101827412857e-02,-9.516881013345056262e-02,2.344429561568085046e-02
7.869976658982428264e-01,2.761585352600195442e-01,8.515474474182105347e-03,9.964058989845280268e-01,-6.740556801043434687e-02,4.235096627105323919e-02,2.895115759244323503e-02
3.752563258938906299e-01,5.226974013452838630e-01,-1.295268075992045964e-01,-5.082341769585932978e-01,8.078759169633433768e-01,-1.775572780559040442e-01,2.398081257406368405e-01
2.209855138059942381e-01,6.847392505599777524e-01,-1.925401192734250422e-01,6.491474896927248439e-01,6.596771946657952190e-01,-3.780719689417516571e-01,2.225133173272387382e-02
5.808401753790599642e-01,4.396246715451118670e-01,-3.700507895948629278e-02,9.905279193885961897e-01,4.622913845026946356e-02,-1.288743249997154339e-01,1.042669777667385757e-02
4.170445977910183233e-01,7.401899842641768146e-01,-1.574716896902564334e-01,2.599467731617670797e-04,7.271102289419978382e-01,3.931428029869561414e-01,5.628049252228966015e-01
4.906840228812726079e-01,4.158232443402668510e-01,-2.314098143700486776e-02,5.540463764617834519e-01,4.456271264971462531e-01,5.936427707496081396e-01,3.768784122183074237e-01
2.384280878898761558e-01,6.359351902106522569e-01,2.796846322760755676e-02,4.184873887522501112e-01,-7.449851476050139976e-01,-4.298817507797547677e-01,2.916626744199374843e-01
4.472626585561799706e-01,3.999060434357201710e-01,-8.325472108812760619e-02,-4.732395401932993351e-01,3.361285029681827519e-01,-7.953179842974296143e-01,1.747319974792159447e-01
6.301556138036079613e-01,4.720398897412638184e-01,-1.119204060313321175e-01,8.479336618149064808e-01,1.806600467489450357e-01,2.079606553135132652e-01,4.529048669548682571e-01
5.207090651534221903e-01,3.466001971933100334e-01,-4.224653048625003071e-02,3.763311277852471881e-01,8.805802794756911744e-01,2.578178651309503966e-02,2.868598144435551833e-01
4.277724975193995527e-01,5.115015172421391032e-01,-2.152781881168502887e-01,-4.022550150096610988e-01,-7.155108303809405434e-01,-5.528350202013214698e-01,1.435569397352725041e-01
6.794427004098169132e-01,4.168456233726480775e-01,-5.448657216097078232e-02,-5.223571067208427898e-01,5.085973815150046651e-01,-6.118932460732883216e-01,3.066894389838098478e-01
5.828107076542201614e-01,6.885019851328627594e-01,-2.143831130708957755e-02,-2.887072328787966269e-01,-8.689730216705529031e-01,-1.515318506993121317e-01,3.722527629391871318e-01
4.392169287422947321e-01,5.140009408390584511e-01,-2.156022812918333420e-01,-3.021737217460703784e-01,8.794086021164014833e-01,-3.645104043289458251e-01,4.963584940073741819e-02
3.051403556858501287e-01,5.881387812087335298e-01,-1.173722148442329222e-01,-7.420866183393823867e-01,-6.602193691550078958e-02,2.922683544743295836e-01,5.996063406105820448e-01
6.713817301013120797e-01,2.412333898271757648e-01,-1.195179735868587834e-01,4.472743448769123664e-01,8.916582124705568768e-01,-5.159481640294245192e-02,4.721511907327298474e-02
4.267098897247680878e-01,6.586534580052944010e-01,4.738728728705631638e-02,4.214887190200824474e-01,7.453815205542826394e-01,9.327551902098402126e-02,5.079894940905391731e-01
3.570790397932039895e-01,4.996348824336783179e-01,-1.820379075678826286e-01,-3.302502641540915884e-01,6.589911895574475098e-01,4.791945456926516855e-01,4.764850076237716614e-01
5.698053936786330320e-01,3.762003532256279481e-01,2.095705913227152717e-02,8.548950774094734584e-01,-4.309357846885992771e-01,1.740659668069007571e-01,2.305423937054744965e-01
6.549110912950532049e-01,5.970714801168822694e-01,-1.857061820562656007e-01,-7.806411152616857807e-01,4.715345070997249421e-01,2.231018718704619597e-01,3.442095474345626682e-01
3.804245811794014775e-01,6.142681382091575992e-01,-1.075670561469706243e-02,-5.767934686518169096e-01,7.526867717411045433e-01,4.431369851436468138e-02,3.143377392082251087e-01
5.592416466452838630e-01,7.098457581628200286e-01,-2.118253560721342077e-01,-4.860727142148213997e-01,-5.797149136054321472e-01,-4.244722515450138345e-01,4.974808972288169429e-01
2.890830488704737022e-01,6.909954503396936731e-01,-4.235207990546203949e-02,-9.684271844673024709e-01,-1.220383808337867221e-01,3.954394702509987647e-02,2.137561653891582036e-01
7.932421378904610521e-01,2.559299617705216856e-01,5.123491513269931574e-02,-7.420623652787001756e-01,5.086340026956837068e-01,-3.522284594142359171e-01,2.580116464763222428e-01
5.469748341003068948e-01,5.059974355855495487e-01,-4.311107395307159362e-02,-5.736017821149709262e-01,7.950207685921615308e-01,-5.269862773611890677e-02,1.901205609511759931e-01
6.965471155718349072e-01,2.790466328393442774e-01,-1.026494585711143770e-01,-1.107366922601982495e-01,7.586411197297414644e-01,6.048721386783927345e-01,2.152457486063334424e-01
5.754637776954473205e-01,4.493508501170671576e-01,-9.429492248260301634e-02,9.175016433168161623e-01,-3.163268089287665230e-01,-2.338272958266042201e-01,5.876121331552677796e-02
6.464018035150084218e-01,4.170240723284763251e-01,-1.950248799853522286e-01,5.701497360785516832e-01,7.998566907943787108e-01,-1.817966384287774684e-01,4.591878588334211836e-02
6.867946371463279354e-01,3.837945301850294033e-01,-1.826793066288370238e-01,8.036796224795877963e-01,3.396134028551729966e-01,4.844664573354536263e-01,6.367144359146925670e-02
5.405737330238875593e-01,6.435886980140738123e-01,-7.422823610007746320e-02,2.087516441591330818e-01,-8.439997633002801480e-01,-3.926417249051362690e-01,2.998660142020901365e-01
6.719640834428676213e-01,2.977246680355402075e-01,7.927133950610540380e-02,-6.299947291372969271e-01,5.506707468695555274e-01,-4.652842811387766786e-01,2.887540606234348939e-01
2.872342036989135039e-01,6.419255963775152285e-01,-9.977067101191094967e-02,-9.262468131747851885e-01,-7.997107866855864000e-02,1.810133801914744038e-03,3.683316319239510195e-01
2.453133184188361904e-01,6.346540623833166750e-01,-3.114611566322793290e-02,3.093573058919095176e-01,9.330623197791405588e-01,1.136914203825812042e-01,1.441076876195647727e-01
6.752377727434601962e-01,2.815850065266231605e-01,-1.236490467923241632e-01,9.489901568242881114e-01,4.881597748841561696e-02,1.830859769146777338e-01,2.520202524593242455e-01
4.397187203016055257e-01,6.098551602094194335e-01,-4.904769234309877546e-02,9.881740221009767400e-02,9.443579154690671107e-01,1.130777277246695564e-02,3.135209447330315480e-01
